fin_obj_sub_typ_cd|obj_id|ver_nbr|fin_obj_sub_typ_nm|row_actv_ind|
AR|014F3DAF6EE9A448E043814FD28EA448|1.0|ACCOUNTS RECEIVABLE|Y|
BU|014F3DAF6EEEA448E043814FD28EA448|1.0|BUDGET ONLY OBJECT CODES|Y|
CA|014F3DAF6EEFA448E043814FD28EA448|1.0|CASH|Y|
CM|014F3DAF6EF4A448E043814FD28EA448|1.0|CAPITAL MOVEABLE EQUIPMENT|Y|
FB|014F3DAF6EFAA448E043814FD28EA448|1.0|FUND BALANCE|Y|
FR|014F3DAF6EFCA448E043814FD28EA448|1.0|FRINGE BENEFITS|Y|
GI|014F3DAF6EFDA448E043814FD28EA448|1.0|GIFTS|Y|
HW|014F3DAF6EFFA448E043814FD28EA448|1.0|HOURLY WAGES|Y|
IN|014F3DAF6F01A448E043814FD28EA448|1.0|INVENTORY|Y|
IV|014F3DAF6F02A448E043814FD28EA448|1.0|INVESTMENTS|Y|
MT|014F3DAF6F08A448E043814FD28EA448|1.0|MANDATORY TRANSFERS|Y|
NA|014F3DAF6F09A448E043814FD28EA448|1.0|NOT APPLICABLE|Y|
SA|014F3DAF6F0FA448E043814FD28EA448|1.0|SALARIES|Y|
SF|014F3DAF6F11A448E043814FD28EA448|1.0|STUDENT FEES|Y|
SS|014F3DAF6F12A448E043814FD28EA448|1.0|SALES AND SERVICE|Y|
TN|014F3DAF6F15A448E043814FD28EA448|1.0|TRANSFERS - NONMANDATORY|Y|
TR|014F3DAF6F16A448E043814FD28EA448|1.0|TRAVEL|Y|
