sub_fund_grp_cd|obj_id|ver_nbr|fund_grp_cd|sub_fund_grp_desc|subfundgrp_actv_cd|sub_fundgrp_typ_cd|fin_report_sort_cd|sub_fund_grp_wage_ind|fnd_grp_ba_rstr_lvl_cd|acct_rstrc_stat_cd|
AUXENT|015D880780766C10E043814FD8816C10|1.0|AE|AUXILIARY ENTERPRISES|Y|A|20|Y|N||
CLEAR|015D880780796C10E043814FD8816C10|1.0|CL|CLEARING AND ROTATING FUNDS|Y|N|25|N|N||
COMMEA|015D8807807A6C10E043814FD8816C10|1.0|CG|COMMERCIAL/FOR PROFIT|Y|N|15|Y|N||
DCEDU|015D880780996C10E043814FD8816C10|1.0|DS|CONTINUING EDUCATION|Y|N|03|Y|N||
DOFDS|015D8807809B6C10E043814FD8816C10|1.0|DS|DESIGNATED OTHER FUNDS|Y|N|06|Y|N||
DPSA|015D8807809C6C10E043814FD8816C10|1.0|DS|PUBLIC SERVICE ACTIVITY|Y|N|04|Y|N||
DSCFE|015D8807809D6C10E043814FD8816C10|1.0|DS|SCHOLARSHIP & FELLOWSHIPS - UNRESTRICTED|Y|N|07|Y|N||
ENDOW|015D8807809E6C10E043814FD8816C10|1.0|EN|ENDOWMENTS|Y|N|27|N|N||
EXTAGY|015D8807809F6C10E043814FD8816C10|1.0|AF|EXTERNAL AGENCY FUNDS|Y|N|38|Y|N||
FEDERA|015D880780A06C10E043814FD8816C10|1.0|CG|FEDERAL|Y|N|14|Y|N||
FOUNDA|015D880780B26C10E043814FD8816C10|1.0|CG|FOUNDATIONS|Y|N|17|Y|N||
GENFND|015D880780C26C10E043814FD8816C10|1.0|GF|GENERAL FUNDS|Y|N|01|Y|N||
HIEDUA|015D880780C36C10E043814FD8816C10|1.0|CG|HIGHER EDUCATION|Y|N|13|Y|N||
LOANFD|015D880780D66C10E043814FD8816C10|1.0|LF|LOAN FUNDS|Y|N|26|N|N||
NONPRA|015D880780DB6C10E043814FD8816C10|1.0|CG|NON-PROFIT|Y|N|18|Y|N||
OTGOVA|015D880780EB6C10E043814FD8816C10|1.0|CG|OTHER GOVERNMENTAL|Y|N|19|Y|N||
OTHFDS|015D880780FB6C10E043814FD8816C10|1.0|OF|OTHER FUNDS|Y|N|40|N|N||
PFCMR|015D880780FC6C10E043814FD8816C10|1.0|PF|CONSTRUCTION & MAJOR REMODELING|Y|N|33|N|N||
PFIP|015D880780FD6C10E043814FD8816C10|1.0|PF|INVESTMENT IN PLANT|Y|N|36|N|N||
PFRI|015D880780FE6C10E043814FD8816C10|1.0|PF|RETIREMENT OF INDEBTEDNESS|Y|N|34|N|N||
PFRR|015D880780FF6C10E043814FD8816C10|1.0|PF|RENEWAL AND REPLACEMENT|Y|N|35|N|N||
RESFEL|015D880781006C10E043814FD8816C10|1.0|RF|FELLOWSHIPS|Y|N|09|Y|N||
RESSCH|015D880781016C10E043814FD8816C10|1.0|RF|SCHOLARSHIPS|Y|N|08|Y|N||
ROFDS|015D880781056C10E043814FD8816C10|1.0|RF|RESTRICTED OTHER FUNDS|Y|N|12|Y|N||
STATEA|015D880781086C10E043814FD8816C10|1.0|CG|STATE FUNDS|Y|N|16|Y|N||
